GROUP/CODE/NAME/YEAR/ANTIGEN/ANTIGEN_DESCRIPTION/COVERAGE_CATEGORY/COVERAGE_CATEGORY_DESCRIPTION/TARGET_NUMBER/DOSES/COVERAGE
COUNTRIES/AFG/Afghanistan/2021/DTPCV1/DTP-containing vaccine, 1st dose/ADMIN/Administrative coverage/1823296/1703535/93.43
COUNTRIES/AFG/Afghanistan/2021/DTPCV3/DTP-containing vaccine, 3rd dose/ADMIN/Administrative coverage/1823296/1481181/81.24
COUNTRIES/AFG/Afghanistan/2020/DTPCV3/DTP-containing vaccine, 3rd dose/ADMIN/Administrative coverage/1780564/1518597/85.29
COUNTRIES/AFG/Afghanistan/2020/DTPCV1/DTP-containing vaccine, 1st dose/ADMIN/Administrative coverage/1780564/1731119/97.22
COUNTRIES/AFG/Afghanistan/2019/DTPCV1/DTP-containing vaccine, 1st dose/ADMIN/Administrative coverage/1733907/1637382/94.43
COUNTRIES/AFG/Afghanistan/2019/DTPCV3/DTP-containing vaccine, 3rd dose/ADMIN/Administrative coverage/1733907/1502684/86.66
COUNTRIES/AFG/Afghanistan/2018/DTPCV3/DTP-containing vaccine, 3rd dose/ADMIN/Administrative coverage/1689680/1467023/86.82
COUNTRIES/AFG/Afghanistan/2018/DTPCV1/DTP-containing vaccine, 1st dose/ADMIN/Administrative coverage/1689680/1682125/99.55
COUNTRIES/AFG/Afghanistan/2017/DTPCV3/DTP-containing vaccine, 3rd dose/ADMIN/Administrative coverage/1584508/1290673/81.46
COUNTRIES/AFG/Afghanistan/2017/DTPCV1/DTP-containing vaccine, 1st dose/ADMIN/Administrative coverage/1584508/1487919/93.9
COUNTRIES/AFG/Afghanistan/2016/DTPCV1/DTP-containing vaccine, 1st dose/ADMIN/Administrative coverage/1220035/1122997/92.05
COUNTRIES/AFG/Afghanistan/2016/DTPCV3/DTP-containing vaccine, 3rd dose/ADMIN/Administrative coverage/1220035/992173/81.32
COUNTRIES/AFG/Afghanistan/2015/DTPCV3/DTP-containing vaccine, 3rd dose/ADMIN/Administrative coverage/1429729/1423433/99.5
COUNTRIES/AFG/Afghanistan/2015/DTPCV1/DTP-containing vaccine, 1st dose/ADMIN/Administrative coverage/1429729/1593629/111
COUNTRIES/AFG/Afghanistan/2014/DTPCV3/DTP-containing vaccine, 3rd dose/ADMIN/Administrative coverage/1317560/1378943/104.66
COUNTRIES/AFG/Afghanistan/2014/DTPCV1/DTP-containing vaccine, 1st dose/ADMIN/Administrative coverage/1317560/1585681/120.35
COUNTRIES/AFG/Afghanistan/2013/DTPCV1/DTP-containing vaccine, 1st dose/ADMIN/Administrative coverage/1286679/1447307/112.48
COUNTRIES/AFG/Afghanistan/2013/DTPCV3/DTP-containing vaccine, 3rd dose/ADMIN/Administrative coverage/1286679/1302508/101.23
COUNTRIES/AFG/Afghanistan/2012/DTPCV1/DTP-containing vaccine, 1st dose/ADMIN/Administrative coverage/1256974/1341174/106
COUNTRIES/AFG/Afghanistan/2012/DTPCV3/DTP-containing vaccine, 3rd dose/ADMIN/Administrative coverage/1256974/1158416/92
COUNTRIES/AFG/Afghanistan/2011/DTPCV1/DTP-containing vaccine, 1st dose/ADMIN/Administrative coverage/1227588/1227586/100
COUNTRIES/AFG/Afghanistan/2011/DTPCV3/DTP-containing vaccine, 3rd dose/ADMIN/Administrative coverage/1227588/1087210/89
COUNTRIES/AFG/Afghanistan/2010/DTPCV3/DTP-containing vaccine, 3rd dose/ADMIN/Administrative coverage/1198817/1037889/87
COUNTRIES/AFG/Afghanistan/2010/DTPCV1/DTP-containing vaccine, 1st dose/ADMIN/Administrative coverage/1198817/1185135/99
COUNTRIES/AFG/Afghanistan/2009/DTPCV3/DTP-containing vaccine, 3rd dose/ADMIN/Administrative coverage/1172935/977606/83
COUNTRIES/AFG/Afghanistan/2009/DTPCV1/DTP-containing vaccine, 1st dose/ADMIN/Administrative coverage/1172935/1099348/94
